#;name;exchange_score;volume_24h;percent_change_volume_24h;effective_liquidity_24h;weekly_visits;num_market_pairs;num_coins;fiats;
79;BitGlobal;4.4;€514849047;198.14%;193;53715;308;255;RUB, TRY;
80;CoinFLEX;4.3;€5786656518;0.16%;144;23409;33;20;;
81;Bitexen;4.3;€76876532;4.45%;420;103905;47;39;TRY;
82;Independent Reserve;4.3;€14351146;77.1%;477;52361;65;30;USD, AUD, NZDand +1 more;
83;BTC Markets;4.2;€12041172;219.93%;464;234847;19;17;AUD;
84;Rekeningku.com;4.2;€27641668;56.87%;432;84736;36;37;IDR;
85;Pionex;4.2;€1362080663;9.05%;443;550220;484;353;;
86;Mercado Bitcoin;4.2;€7314038;162.41%;474;480919;17;12;BRL;
87;Mandala Exchange;4.2;€6178928968;0.01%;267;51156;638;312;;
88;Bit2Me;4.2;€113592298;104.53%;454;1949;1;2;;
89;IndoEx;4.2;€1966053623;15.32%;476;140635;171;96;;
90;The Rock Trading;4.1;€2290477;183.61%;492;17650;19;14;EUR, GBP;
91;BTCEX;4.1;€235252885;124.29%;;592601;59;60;;
92;Bit.com;4.1;€14113547;419.6%;452;9481;11;8;;
93;Uniswap (V3) (Arbitrum);4.1;€54317456;49.61%;;;17;12;;
94;Lykke Exchange;4.1;€1962235;1858.92%;484;2418;66;20;USD, EUR, CHFand +1 more;
95;ProBit;4.1;€634740;5.18%;291;236979;71;70;;
96;Coindeal;4.0;€12770251;148.73%;433;9330;20;20;;
97;Bitbns;4.0;€25844686;33.01%;386;187672;156;137;INR;
98;NovaDAX;4.0;€4521730;76.1%;429;156290;155;100;BRL, EUR;
99;P2PB2B;3.9;€789930724;145.36%;424;339230;183;91;;
100;OKX;3.9;€2395881583;115.05%;203;42;691;324;;
101;BKEX;3.9;€753662660;48.43%;409;435891;650;605;;
102;CoinJar;3.9;€24383734;524.03%;368;31765;68;31;AUD, GBP;
103;CoinMate;3.9;€3309876;220.53%;419;45264;17;8;EUR, CZK;
104;LocalTrade;3.9;€140348089;79.61%;509;85248;143;54;;
105;BitForex;3.9;€456227327;45.14%;414;480372;227;188;;
106;Giottus;3.9;€252694324;180.49%;270;136463;87;70;INR;
107;LATOKEN;3.9;€134432928;61.34%;485;185995;588;463;USD, EUR, GBPand +2 more;
108;Aave;3.8;€109044860;12.69%;;267173;10;18;;
109;CoinZoom;3.8;€7748767;191.11%;386;9685;71;28;;
110;Polyx;3.8;€10612616;4.88%;367;66719;9;7;USD, EUR, RUB;
111;Bitci;3.8;€1077151;29.03%;421;122477;29;27;TRY;
112;Buda;3.8;€3567541;135.99%;395;166874;18;8;CLP, COP, PENand +1 more;
113;CoinTiger;3.8;€280482471;87.93%;471;82083;484;396;;
114;50x;3.8;€359681;14.83%;231;8609;102;24;;
115;Folgory;3.8;€75147081;11.57%;490;126374;231;95;;
116;Bithumb Singapore;3.8;€15;83.73%;;239;6;6;;
117;Bitbuy;3.8;€4774384;56.3%;377;68735;20;16;CAD;
118;Zipmex;3.8;€33084955;39.46%;311;219187;244;102;THB, SGD, AUDand +2 more;
119;Satang Pro;3.8;€2335529;52.12%;391;118121;35;36;THB;
120;NiceHash;3.7;€1737646;50.3%;395;7424163;62;48;;
121;bit4you;3.7;€837275;346.13%;404;13189;70;41;;
122;CoinMetro;3.7;€3524343;59.29%;374;83700;45;25;USD, EUR, GBPand +1 more;
123;B2BX;3.7;€42548955;101.34%;351;2327;38;26;USD, EUR, GBP;
124;VinDAX;3.7;€50919514;14.99%;488;67359;286;176;;
125;BTC-exchange;3.7;€613030;4998.46%;394;2544;5;6;EUR;
126;Bibox;3.7;€648901455;148.47%;390;146264;355;268;;
127;Resfinex;3.6;€87112761;101.66%;354;270;13;9;;
128;Hanbitco;3.6;€8029869;10.51%;153;2911;19;20;;
129;Coinut;3.6;€50670;728.57%;414;10903;24;10;SGD;
130;Hoo;3.6;€618106635;17.59%;386;135788;660;649;;
131;ZebPay;3.6;€10588520;11.59%;320;61932;117;65;AUD, INR, SGD;
132;Bitvast;3.6;€62966103;85.31%;357;126;12;9;;
133;Biconomy Exchange;3.6;€757340690;115.18%;228;18503;54;39;;
134;Kuna;3.6;€1770909;51.15%;351;82488;42;25;USD, RUB, UAH;
135;StormGain;3.6;€41016296;56.94%;;317947;38;31;;
136;Paritex;3.5;€154368009;18.79%;306;972;15;9;TRY;
137;Coinzo;3.5;€3680;1.08%;408;11669;17;10;TRY;
138;TOKENCAN;3.5;€3885685554;91.23%;;677;39;39;;
139;ZBG;3.5;€337988518;87.03%;445;13921;97;75;;
140;Balancer (V2);3.5;€36556366;147.15%;;62147;48;44;;
141;BTSE;3.5;€115114130;5.17%;470;10014;27;18;USD, EUR, GBPand +6 more;
142;Alterdice;3.5;€42025770;64.03%;285;8329;63;36;;
143;ACE;3.5;€13553275;129.62%;293;13618;23;20;;
