,coinbase_id,name,website_url,weekly_visits,countries,fiats,blog_url,twitter_url,date_launched,status,#,exchange_score,volume_24h,percent_change_volume_24h,effective_liquidity_24h,num_market_pairs,num_coins,
34,157,BitMEX,https://www.bitmex.com/,996031,,,https://blog.bitmex.com/,https://twitter.com/BitMEXdotcom,2014-04-01,active,273,0.1,€,149.37%,,25,10,
35,166,Independent Reserve,https://www.independentreserve.com/,52361,,"USD,AUD,NZD,SGD",,,2013-05-24,active,82,4.3,€14351146,77.1%,477,65,30,
36,171,Luno,https://www.luno.com/en/exchange,381361,,"AUD,EUR,GBP,IDR,MYR,GNG,SGD,UGX,ZAR,ZMW",https://www.luno.com/blog/en/,,2017-02-11,active,65,4.6,€41400177,97.57%,507,26,13,
37,174,Coinone,https://coinone.co.kr/,641026,,KRW,,https://twitter.com/CoinoneOfficial,2014-06-11,active,18,6.5,€237162937,73.77%,487,190,191,
38,191,Bisq,https://bisq.network/,49586,,,https://bisq.network/blog/,https://twitter.com/bisq_network,2014-12-11,active,,,,,,,,
39,194,Korbit,https://www.korbit.co.kr,80245,,KRW,,,2013-07-25,active,31,5.6,€13942271,42.3%,396,78,80,
40,200,Bithumb,https://www.bithumb.com/,1130397,,KRW,https://blog.naver.com/bithumb_official,https://twitter.com/BithumbOfficial,2014-01-01,active,17,6.8,€1070374862,18.19%,438,273,195,
41,201,Lykke Exchange,https://trade.lykke.com/,2418,,"USD,EUR,CHF,GBP",https://www.lykke.com/city/blog,https://twitter.com/lykke,2016-06-29,active,94,4.1,€1962235,1858.92%,484,66,20,
42,209,Kuna,https://kuna.io,82488,,"USD,RUB,UAH",https://investors.kuna.io/,https://twitter.com/KunaExchange,2016-03-12,active,134,3.6,€1770909,51.15%,351,42,25,
43,213,Mercatox,https://mercatox.com/,64151,,,,https://twitter.com/MercatoxCom,2015-10-12,active,217,2.7,€19520960,16.06%,280,378,222,
44,215,P2PB2B,https://p2pb2b.io/,339230,,,,https://twitter.com/p2pb2b,2018-01-01,active,99,3.9,€789930724,145.36%,424,183,91,
45,219,Tidex,https://tidex.com/,8530,,,https://medium.com/tidex,https://twitter.com/tidex_exchange,2017-10-18,active,245,2.3,€395396,2.4%,265,29,20,
46,221,Heat Wallet,https://heatwallet.com/,295,,,,,2016-02-08,active,268,1.3,€38,%,,1,2,
47,223,FreiExchange,https://freiexchange.com/,54055,,,,https://twitter.com/fed_fab,2016-12-20,active,269,1.3,€8304,5.62%,64,44,45,
48,224,BTC Markets,https://btcmarkets.net/,234847,,AUD,,https://twitter.com/BTCMarkets,2013-11-22,active,83,4.2,€12041172,219.93%,464,19,17,
49,225,Paribu,https://www.paribu.com/,1121517,,TRY,,https://twitter.com/paribucom,2017-02-14,active,72,4.4,€116592252,55.3%,423,90,81,
50,228,BTC-Alpha,https://btc-alpha.com/,172596,,"USD,EUR",,,2016-03-01,active,185,3.0,€30435548,134.56%,346,23,17,
51,232,Coingi,https://coingi.com/,589,,"USD,EUR,CZK",,https://twitter.com/coingi,2014-08-01,active,229,2.6,€35733,223.89%,163,1,2,
52,234,RippleFox,https://ripplefox.com/,225,,,,,2014-05-01,active,221,2.7,€27566,261.74%,,8,5,
53,235,Gatehub,https://www.gatehub.net/,31042,,"USD,EUR",http://blog.gatehub.net/,https://twitter.com/GateHub,2014-11-01,active,274,0.1,€,61.44%,,2,2,
54,242,COSS,https://www.coss.io/,2511,,,https://coss.io/news,https://twitter.com/cosscrypto,2017-04-01,active,209,2.7,€1194274,29.96%,161,10,11,
55,243,BtcTurk | Pro,https://pro.btcturk.com/,625147,,TRY,https://medium.com/@btcturk,https://twitter.com/btcturkpro,2013-07-02,active,56,4.8,€225959670,89.91%,483,126,50,
56,245,STEX,https://www.stex.com/,22042,,,,https://twitter.com/stexExchangeR,2017-09-01,active,260,1.6,€16401458,10.98%,44,263,204,
57,246,Waves Exchange,https://waves.exchange/,223961,,,,https://twitter.com/waves_exchange,2016-06-01,active,,,,,,,,
58,248,Koinim,https://koinim.com/,9100,,TRY,http://blog.koinim.com/,,2013-04-01,active,223,2.6,€9754,104.68%,,6,7,
59,250,Buda,https://www.buda.com,166874,,"CLP,COP,PEN,ARS",https://www.buda.com/blog/,https://twitter.com/BudaPuntoCom,2015-04-21,active,112,3.8,€3567541,135.99%,395,18,8,
60,252,BTC Trade UA,https://btc-trade.com.ua/,17923,,UAH,http://news.btc-trade.com.ua/,https://twitter.com/btc_trade_ua,2014-05-01,active,206,2.8,€121166,79.2%,196,13,14,
61,253,LocalTrade,https://localtrade.cc/,85248,,,,https://twitter.com/LocaltradeC,2017-11-04,active,104,3.9,€140348089,79.61%,509,143,54,
62,257,Bitbank,https://bitbank.cc,318164,,JPY,https://blog.bitbank.cc/,https://twitter.com/bitbank_inc,2014-05-07,active,45,5.1,€104961601,202.96%,598,22,13,
63,258,Mercado Bitcoin,https://www.mercadobitcoin.com.br/,480919,,BRL,https://blog.mercadobitcoin.com.br/,https://twitter.com/MercadoBitcoin,2013-06-12,active,86,4.2,€7314038,162.41%,474,17,12,
64,261,Altcoin Trader,https://www.altcointrader.co.za/,317975,,ZAR,,https://twitter.com/AltCoinTraderSA,2014-07-01,active,184,3.1,€3048626,33.22%,,28,27,
65,267,Bancor Network,https://www.bancor.network/,51044,,,https://blog.bancor.network/,https://twitter.com/bancor,2017-01-01,active,,,,,,,,
66,270,Binance,https://www.binance.com/,34051317,,"AED,ARS,AUD,AZN,BRL,CAD,CHF,CLP,COP,CZK,EGP,EUR,GBP,GHS,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KES,KRW,KZT,MXN,NGN,NOK,NZD,PEN,PHP,PLN,RON,RUB,SAR,SEK,SGD,THB,TRY,TWD,UAH,UGX,USD,UYU,VND,ZAR",,https://twitter.com/binance,2017-07-14,active,1,9.9,€20654428911,107.21%,805,1615,401,
67,278,Bits Blockchain,https://bitsblockchain.com/,188,,,,,2017-11-23,active,263,1.4,€40825,10.43%,,4,5,
68,280,Tidebit,https://www.tidebit.com/,1663,,HKD,,,2015-01-01,active,194,2.9,€567021,365.52%,,8,8,
69,290,CryptoMarket,https://www.cryptomkt.com/,135685,,"CLP,ARS,BRL",https://noticias.cryptomkt.com,https://twitter.com/cryptomkt,2017-01-01,active,275,0.1,€,%,,12,7,
70,294,OKX,https://www.okx.com/,42,SC,,,https://twitter.com/OKEx,2017-01-03,active,100,3.9,€2395881583,115.05%,203,691,324,
71,302,Gate.io,https://gate.io/,7090018,,"KRW,EUR",,https://twitter.com/gate_io,2013-01-01,active,8,7.4,€1541399462,98.51%,527,2219,1253,
72,310,IDEX,https://idex.io,42800,,,https://medium.com/aurora-dao,https://twitter.com/idexio,2016-10-12,active,,,,,,,,
73,311,KuCoin,https://www.kucoin.com,4250751,,"USD,AED,ARS,AUD,AGN,BGN,BRL,CAD,CHF,CLP,COP,CRC,CZK,DKK,DOP,EUR,GBP,GEL,HKD,HUF,ILS,INR,JPY,KRW,KZT,MAD,MDL,MXN,MYR,NAD,NGN,NOK,NZD,PEN,PHP,PLN,QAR,RON,RUB,SEK,SGD,TRY,TWD,UAH,USD,UYU,UZS,ZAR",https://www.kucoin.com/blog/en_US,https://twitter.com/kucoincom,2017-08-13,active,5,7.9,€3425343953,110.26%,593,1173,598,
74,316,BitcoinTrade,https://www.bitcointrade.com.br/,23968,,BRL,,https://twitter.com/br_bitcointrade,2017-06-01,active,189,2.9,€1178367,221.77%,,7,8,
75,317,TOPBTC,https://topbtc.one/,466,,,,https://twitter.com/topbtc_exchange,2016-12-17,active,276,0.1,€,94.87%,,40,17,
76,319,AEX,https://www.aex.com/,732237,,"AUD,CAD,CZK,DKK,GBP,HKD,IDR,INR,MYR,NDK,NZD,PHP,PLN,RUB,SEK,SGD,THB,TRY,USD,VND",https://medium.com/@aexplus,https://twitter.com/aexplus,,active,71,4.5,€943004927,323.9%,520,340,302,
77,320,CoinFalcon,https://coinfalcon.com/,7578,,EUR,https://coinfalcon.com/blog/,https://twitter.com/coinfalcon,2017-05-28,active,178,3.1,€13051,369.98%,297,8,8,
78,321,Coinut,https://coinut.com/,10903,,SGD,,https://twitter.com/coinut_exchange,2013-11-23,active,129,3.6,€50670,728.57%,414,24,10,
79,325,Satang Pro,https://satangcorp.com/exchange/,118121,,THB,,https://twitter.com/satangcorp,2017-11-01,active,119,3.8,€2335529,52.12%,391,35,36,
80,326,ZB.COM,https://www.zb.com/,197815,,"AED,CNY,RUB,UYU,USD,CAD,TWD,HUP,UZS,AUD,COP,NZD",https://www.zb.com/i/blog,https://twitter.com/Zb_group,2017-11-01,active,33,5.5,€1254848080,97.59%,410,248,170,
81,330,BigONE,https://big.one/,563351,,,https://bigone.zendesk.com/hc/en-us/sections/115000476773-Latest-News,https://twitter.com/BigONEexchange,2017-06-24,active,41,5.3,€1048336971,82.75%,522,204,169,
82,333,LBank,https://www.lbank.info/,1434880,,,https://medium.com/LBank,https://twitter.com/LBank_Exchange,2016-10-01,active,25,6.0,€899120196,5.66%,443,475,467,
83,335,GOPAX,https://www.gopax.co.kr,87660,,KRW,,,2017-06-14,active,186,3.0,€4235697,15.47%,198,20,21,
84,339,Bibox,https://www.bibox.com/,146264,,,https://www.linkedin.com/company/14405898,https://twitter.com/Bibox365,2017-11-01,active,126,3.7,€648901455,148.47%,390,355,268,
85,343,CoinBene,https://www.coinbene.com/,17375,,,,https://twitter.com/coinbene,2017-09-20,active,277,0.1,€,%,,128,4,
86,350,CoinEx,https://www.coinex.com/,1029489,,,,https://twitter.com/coinexcom,2017-12-01,active,54,4.9,€97845755,92.61%,547,627,395,
87,351,Upbit,https://upbit.com/,3124629,,KRW,,https://twitter.com/upbitglobal,2017-10-24,active,27,5.9,€2983634649,93.59%,497,234,157,
88,353,OTCBTC,https://otcbtc.com/,1264,,,https://medium.com/otcbtc,https://twitter.com/otcbtc,2017-10-01,active,265,1.3,€1449,6.18%,,1,2,
89,354,TradeOgre,https://tradeogre.com/,702249,,,,,2018-01-01,active,191,2.9,€1009317,47.12%,,86,81,
90,360,C-Patex,https://c-patex.com/,10622,,,,https://twitter.com/c_patex,2014-11-01,active,278,0.1,€,5.49%,,35,28,
91,362,CRXzone,https://www.crxzone.com/,351,,"USD,SGD",https://www.crxzone.com/company/news,https://twitter.com/crxzone,2014-04-01,active,279,0.1,€,74.2%,,4,2,
92,363,Fatbtc,https://www.fatbtc.com/,3980,,,,https://twitter.com/fatbtc,2014-05-01,active,266,1.3,€727090,5.16%,42,83,49,
93,364,Paymium,https://www.paymium.com/,8272,,EUR,,https://twitter.com/paymium,2010-05-01,active,169,3.3,€418066,326.69%,301,1,2,
94,367,DDEX,https://ddex.io/,1231,,,https://medium.com/ddex,https://twitter.com/ddexio2018,2017-12-12,active,,,,,,,,
95,369,RuDEX,https://rudex.org/,595,,,,https://twitter.com/team_rudex,2017-04-18,active,261,1.5,€6617,6669.22%,122,23,10,
96,370,ZebPay,https://www.zebpay.com/,61932,,"AUD,INR,SGD",,https://twitter.com/zebpay,2014-08-01,active,131,3.6,€10588520,11.59%,320,117,65,
97,376,Bitbns,https://bitbns.com/,187672,,INR,https://medium.com/bitbns,https://twitter.com/bitbns,2017-11-01,active,97,4.0,€25844686,33.01%,386,156,137,
98,378,Unocoin,https://www.unocoin.com/,21813,IN,,,https://twitter.com/unocoin,2011-09-01,active,158,3.3,€277538,193.56%,130,64,35,
99,380,LATOKEN,https://latoken.com/,185995,,"USD,EUR,GBP,SGD,IDR",https://medium.com/@latoken,https://twitter.com/latokens,2017-07-01,active,107,3.9,€134432928,61.34%,485,588,463,
100,382,Crex24,https://crex24.com/,268930,,,https://bitcointalk.org/index.php?topic=2101721.0,https://twitter.com/crex_24,2017-08-01,active,,,,,,,,
101,384,Bithesap,https://www.bithesap.com/,1624,,TRY,,https://twitter.com/bithesapcom,2017-12-01,active,234,2.5,€51,%,,2,3,
102,385,Cryptonex,https://cryptonex.org,379,,"USD,EUR,RUB,GBP,BRL",,https://twitter.com/Cryptonex_CNX,2017-10-01,active,203,2.8,€27165758,197.62%,163,12,8,
103,391,CoinTiger,https://www.cointiger.com,82083,,,,https://twitter.com/CoinTigerEX,2017-12-01,active,113,3.8,€280482471,87.93%,471,484,396,
104,392,B2BX,https://www.b2bx.exchange/,2327,,"USD,EUR,GBP",https://www.b2bx.exchange/category/news/,https://twitter.com/b2bx_exchange,2018-01-01,active,123,3.7,€42548955,101.34%,351,38,26,
105,398,DragonEX,https://dragonex.io,8473,,,,https://twitter.com/Dragonex_io,2017-11-02,active,249,2.1,€433355241,4.96%,98,124,121,
106,400,Hotbit,https://www.hotbit.io/,1460107,,,,https://twitter.com/Hotbit_news,2018-01-14,active,149,3.4,€265260088,42.65%,323,1997,1502,
107,401,Switcheo Network,https://switcheo.network,71,,,,https://twitter.com/SwitcheoNetwork,2018-03-31,active,,,,,,,,
108,402,Coinsuper,https://www.coinsuper.com/,226553,,,https://medium.com/coinsuper,https://twitter.com/Coinsuper_OFCL,2018-02-27,active,257,1.8,€6584166,1.34%,104,37,32,
109,403,BitForex,https://www.bitforex.com,480372,,,,https://twitter.com/bitforexcom,2018-06-01,active,105,3.9,€456227327,45.14%,414,227,188,
110,404,Kyber Network,https://kyber.network/,16704,,,,https://twitter.com/kybernetwork,2018-02-11,active,,,,,,,,
111,405,Coindeal,https://coindeal.com/,9330,,,,https://twitter.com/CoinDeal_,2018-03-01,active,96,4.0,€12770251,148.73%,433,20,20,
112,406,BitMart,https://bitmart.com,959959,,"USD,EUR",https://medium.com/@bitmart-exchange,https://twitter.com/BitMartExchange,2018-03-15,active,59,4.8,€663955531,29.73%,387,629,558,
113,407,DigiFinex,https://www.digifinex.com/,2395739,,,,https://twitter.com/digifinex,2018-04-01,active,57,4.8,€2601504595,129.59%,493,291,231,
114,411,Tokenomy,https://tokenomy.com/,1450,,,https://medium.com/@tokenomy,https://twitter.com/tokenomy,2018-01-27,active,222,2.7,€18349,6.5%,,37,2,
115,415,Bilaxy,https://bilaxy.com/,94963,,,,,2018-04-24,active,151,3.4,€237935,7.63%,552,25,29,
116,419,Graviex,https://graviex.net/,88708,,,,https://twitter.com/graviex_net,2018-02-06,active,243,2.3,€324314,37.73%,86,167,115,
117,421,IDCM,https://www.idcm.io/,5642,,,https://www.idcm.io/news/announcement,https://twitter.com/idcmofficial,2018-04-02,active,280,0.1,€,0.1%,,25,23,
118,422,ABCC,https://abcc.com/,2659,,USD,,https://twitter.com/ABCCExOfficial,2018-04-28,active,212,2.7,€331052505,14.47%,276,99,48,
119,424,Hoo,https://hoo.com/,135788,,,https://medium.com/@Hoo_exchange,https://twitter.com/hoo_exchange,2018-05-18,active,130,3.6,€618106635,17.59%,386,660,649,
120,425,WazirX,https://wazirx.com/,2621501,,INR,https://blog.wazirx.com/,https://twitter.com/WazirXIndia,2018-03-08,active,39,5.3,€74473711,100.52%,463,384,225,
121,427,Bitfront,https://www.bitfront.me/,59325,,USD,https://linecorp.com/en/pr/news/global/,https://twitter.com/bitfront_global,2018-07-12,active,55,4.9,€336259537,184.97%,530,13,7,
122,430,ZBG,https://www.zbg.com/,13921,,,https://medium.com/@ZBGofficial,https://twitter.com/ZB_Global,2018-07-25,active,139,3.5,€337988518,87.03%,445,97,75,
123,433,Bitrue,https://www.bitrue.com/,485771,,,,https://twitter.com/BitrueOfficial,2018-07-20,active,48,5.0,€2191291561,85.72%,429,502,376,
124,434,YunEx,https://yunex.io/,412,,,,https://twitter.com/YunEx_io,2018-01-01,active,258,1.7,€14603241,9.4%,,15,16,
125,436,Bitkub,https://www.bitkub.com/,1316617,,THB,https://medium.com/bitkub/thai/home,https://twitter.com/bitkubofficial,2018-02-14,active,61,4.6,€134167510,139.8%,456,56,57,
126,438,Bgogo,https://bgogo.com/,1103,,,https://bgogohelp.zendesk.com/hc/en-us/categories/360000939012-Announcements,https://twitter.com/BgogoExchange,2018-05-28,active,201,2.8,€352519,10.01%,,31,19,
127,440,Cryptology,https://cryptology.com/,173339,,"USD,EUR",https://blog.cryptology.com/,https://twitter.com/Cryptologyexch,2018-01-01,active,64,4.6,€53336840,87.71%,498,46,21,
128,442,Coinbit,https://www.coinbit.co.kr/,21465,,KRW,https://www.coinbit.co.kr/customer/main,https://twitter.com/coinbit_coinbit,2018-07-23,active,236,2.5,€3,0.23%,,1,2,
129,443,GDAC,https://www.gdac.com,22279,,KRW,https://blog.naver.com/official_gdac,,2018-08-12,active,241,2.3,€585269,35.13%,83,9,10,
130,446,TOKOK,https://www.tokok.com/,4321,,,https://www.weibo.com/tokokcom,https://twitter.com/tokokofficial,2018-06-30,active,202,2.8,€261606833,0.17%,296,39,26,
131,452,Coineal,https://www.coineal.com/,10983,,,,https://twitter.com/CoinealExchange,2018-04-23,active,147,3.5,€50546845,13.03%,467,13,11,
132,453,AscendEX (Bitmax),https://www.ascendex.com/,689478,,,https://medium.com/ascendex,https://twitter.com/AscendEX_Global,2018-07-01,active,35,5.4,€122446925,32.38%,454,336,264,
133,456,PoloniDEX,https://poloniex.org/,21879,,,,https://twitter.com/PoloniDEX,2018-12-01,active,,,,,,,,
134,459,BW.com,https://www.bw.com/,30608,,,https://bwexchange.zendesk.com/hc/en-us,https://twitter.com/BWOfficial2,2017-01-01,active,211,2.7,€41721274,1.98%,270,42,38,
135,460,Coinsbit,https://coinsbit.io/,1092104,,"USD,EUR",,https://twitter.com/c0insbit,2018-08-21,active,50,5.0,€718645508,106.91%,639,158,72,
136,463,Huobi Korea,https://www.huobi.co.kr/,1839,,KRW,,https://twitter.com/huobi_korea,2018-03-30,active,281,0.1,€,125821.69%,,267,13,
137,468,OceanEx,https://oceanex.pro/,14296,,,https://medium.com/@OceanEx/,https://twitter.com/OceanexOfficial,2018-11-01,active,246,2.3,€59611110,6.31%,169,84,47,
138,477,ProBit Global,https://www.probit.com/en-us/,594675,,,https://medium.com/@ProBit_Exchange,https://twitter.com/ProBit_Exchange,2018-11-30,active,37,5.4,€181198097,13.22%,425,734,541,
139,478,BHEX (BlueHelix Exchange),https://www.bhex.com/,942,,,,https://twitter.com/BHEXOfficial,2018-12-03,active,282,0.1,€,99.19%,,15,5,
140,479,Dcoin,https://www.dcoin.com/,43423,,,https://medium.com/dcoin-exchange,https://twitter.com/dcoinexchange,2018-05-01,active,176,3.2,€802886617,34.83%,296,125,115,
141,480,Cat.Ex,https://www.catex.io/,30623,,,https://www.catex.io/announcement,https://twitter.com/catexofficial,2018-08-13,active,188,2.9,€87569166,3.14%,308,151,80,
142,481,Alterdice,https://alterdice.com/,8329,,,https://alterdice.com/news,https://twitter.com/AlterdiceSocial,2018-10-22,active,142,3.5,€42025770,64.03%,285,63,36,
143,482,BKEX,https://www.bkex.com/,435891,,,,https://twitter.com/BKEXGlobal,2018-06-01,active,101,3.9,€753662660,48.43%,409,650,605,
144,483,Hanbitco,https://www.hanbitco.com/,2911,,,https://medium.com/@hanbitco.com,https://twitter.com/HanbitcoKr,2017-11-01,active,128,3.6,€8029869,10.51%,153,19,20,
145,485,CoinField,https://www.coinfield.com/,18787,,,https://coinfield.com/company/crypto-currency-exchange,https://twitter.com/CoinFieldEx,2018-01-01,active,213,2.7,€15740475,68.16%,294,75,28,
146,486,Binance DEX,https://www.binance.org/en,505446,,,,https://twitter.com/BinanceChain,2019-02-20,active,,,,,,,,
147,487,VinDAX,https://vindax.com/,67359,,,https://medium.com/@VindaxExchange,https://twitter.com/VinDAXOfficial,2019-03-08,active,124,3.7,€50919514,14.99%,488,286,176,
148,488,CoinMetro,https://coinmetro.com/,83700,,"USD,EUR,GBP,AUD",https://coinmetro.com/blog/,https://twitter.com/CoinMetro,2017-12-04,active,122,3.7,€3524343,59.29%,374,45,25,
149,489,BitGlobal,https://www.bitglobal.com/,53715,,"RUB,TRY",https://medium.com/@bithumbglobal,https://twitter.com/BithumbGlobal,2019-05-14,active,79,4.4,€514849047,198.14%,193,308,255,
150,491,SafeTrade,https://www.safe.trade/,11395,,,,https://twitter.com/safetradeex,,active,252,2.0,€15179,58.07%,35,47,28,
151,492,VELIC,https://www.velic.io/,408,,,https://medium.com/velicfinancial,https://twitter.com/velicfinancial,2018-10-01,active,283,0.1,€,%,,22,18,
152,495,Folgory,https://folgory.com/,126374,,,,https://twitter.com/Folgory1,2019-01-24,active,115,3.8,€75147081,11.57%,490,231,95,
153,496,Exnomy,https://www.exnomy.com/,207,,,,https://twitter.com/exnomy,2018-06-01,active,284,0.1,€,100%,,15,13,
154,497,BiONE,https://www.bione.info/,27,,,,https://twitter.com/BioneExchange,2018-05-01,active,231,2.6,€947812952,79.18%,296,3,3,
155,498,Polyx,https://polyx.net,66719,,"USD,EUR,RUB",https://polyx.net/en/blog,https://twitter.com/Polyxchange,2018-11-01,active,110,3.8,€10612616,4.88%,367,9,7,
156,500,Tokenize Xchange,https://tokenize.exchange/,60312,,,https://blog.tokenize.exchange/,https://twitter.com/TokenizeXchange,2018-02-01,active,172,3.2,€29374480,5.05%,398,42,17,
157,501,WhiteBIT,https://whitebit.com,2724950,,"USD,EUR,GBP",https://medium.com/whitebit,https://twitter.com/whitebit,2018-12-01,active,40,5.3,€806563557,65.85%,503,159,96,
158,503,Birake Network,https://birake.com/,1660,,,https://medium.com/@birakecom,https://twitter.com/birakecom,2018-12-27,active,,,,,,,,
159,504,ZG.com,https://www.zg.com/,42709,,,https://medium.com/@gaotony,https://twitter.com/ZGexchange,2018-07-01,active,285,0.1,€,100%,,46,2,
